"film_id","title","description","rating","rental_rate"
544,Madison Trap,A Awe-Inspiring Reflection of a Monkey And a Dentist who must Overcome a Pioneer in A U-Boat,R,2.99
548,Magnificent Chitty,A Insightful Story of a Teacher And a Hunter who must Face a Mad Cow in California,R,2.99
197,Crusade Honey,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,R,2.99
199,Cupboard Sinners,A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park,R,2.99
49,Badman Dawn,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,R,2.99
59,Bear Graceland,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,R,2.99
231,Dinosaur Secretary,A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies,R,2.99
234,Disturbing Scarface,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,R,2.99
236,Divine Resurrection,A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park,R,2.99
643,Orient Closer,A Astounding Epistle of a Technical Writer And a Teacher who must Fight a Squirrel in The Sahara Desert,R,2.99
649,Oz Liaisons,A Epic Yarn of a Mad Scientist And a Cat who must Confront a Womanizer in A Baloon Factory,R,2.99
659,Park Citizen,A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan,PG-13,4.99
7,Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,PG-13,4.99
28,Anthem Luke,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,PG-13,4.99
44,Attacks Hate,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,PG-13,4.99
45,Attraction Newton,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,PG-13,4.99
48,Backlash Undefeated,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,PG-13,4.99
71,Bilko Anonymous,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,PG-13,4.99
81,Blindness Gun,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,PG-13,4.99
124,Casper Dragonfly,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,PG-13,4.99
141,Chicago North,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,PG-13,4.99
170,Command Darling,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,PG-13,4.99
173,Confessions Maguire,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,PG-13,4.99
211,Darling Breaking,A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico,PG-13,4.99
214,Daughter Madigan,A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station,PG-13,4.99
219,Deep Crusade,A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia,PG-13,4.99
253,Drifter Commandments,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,PG-13,4.99
277,Elephant Trojan,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,PG-13,4.99
294,Expecations Natural,A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat,PG-13,4.99
300,Falcon Volume,A Fateful Saga of a Sumo Wrestler And a Hunter who must Redeem a A Shark in New Orleans,PG-13,4.99
320,Flamingos Connecticut,A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert,PG-13,4.99
324,Flintstones Happiness,A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California,PG-13,4.99
340,Frontier Cabin,A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House,PG-13,4.99
347,Games Bowfinger,A Astounding Documentary of a Butler And a Explorer who must Challenge a Butler in A Monastery,PG-13,4.99
385,Groundhog Uncut,A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse,PG-13,4.99
403,Harry Idaho,A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California,PG-13,4.99
421,Holiday Games,A Insightful Reflection of a Waitress And a Madman who must Pursue a Boy in Ancient Japan,PG-13,4.99
435,Hotel Happiness,A Thrilling Yarn of a Pastry Chef And a A Shark who must Challenge a Mad Scientist in The Outback,PG-13,4.99
439,Hunchback Impossible,A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan,PG-13,4.99
460,Innocent Usual,A Beautiful Drama of a Pioneer And a Crocodile who must Challenge a Student in The Outback,PG-13,4.99
466,Intolerable Intentions,A Awe-Inspiring Story of a Monkey And a Pastry Chef who must Succumb a Womanizer in A MySQL Convention,PG-13,4.99
487,Jingle Sagebrush,A Epic Character Study of a Feminist And a Student who must Meet a Woman in A Baloon,PG-13,4.99
500,Kiss Glory,A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies,PG-13,4.99
508,Lambs Cincinatti,A Insightful Story of a Man And a Feminist who must Fight a Composer in Australia,PG-13,4.99
512,League Hellfighters,A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China,PG-13,4.99
556,Maltese Hope,A Fast-Paced Documentary of a Crocodile And a Sumo Wrestler who must Conquer a Explorer in California,PG-13,4.99
565,Matrix Snowman,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,PG-13,4.99
578,Million Ace,A Brilliant Documentary of a Womanizer And a Squirrel who must Find a Technical Writer in The Sahara Desert,PG-13,4.99
579,Minds Truman,A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery,PG-13,4.99
580,Mine Titans,A Amazing Yarn of a Robot And a Womanizer who must Discover a Forensic Psychologist in Berlin,PG-13,4.99
583,Mission Zoolander,A Intrepid Story of a Sumo Wrestler And a Teacher who must Meet a A Shark in An Abandoned Fun House,PG-13,4.99
596,Moonshine Cabin,A Thoughtful Display of a Astronaut And a Feminist who must Chase a Frisbee in A Jet Boat,PG-13,4.99
614,Name Detective,A Touching Saga of a Sumo Wrestler And a Cat who must Pursue a Mad Scientist in Nigeria,PG-13,4.99
633,October Submarine,A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat,PG-13,4.99
648,Outlaw Hanky,A Thoughtful Story of a Astronaut And a Composer who must Conquer a Dog in The Sahara Desert,PG-13,4.99
98,Bright Encounters,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,PG-13,4.99
661,Past Suicides,A Intrepid Tale of a Madman And a Astronaut who must Challenge a Hunter in A Monastery,PG-13,4.99
666,Paycheck Wait,A Awe-Inspiring Reflection of a Boy And a Man who must Discover a Moose in The Sahara Desert,PG-13,4.99
676,Philadelphia Wife,A Taut Yarn of a Hunter And a Astronaut who must Conquer a Database Administrator in The Sahara Desert,PG-13,4.99
682,Pittsburgh Hunchback,A Thrilling Epistle of a Boy And a Boat who must Find a Student in Soviet Georgia,PG-13,4.99
685,Platoon Instinct,A Thrilling Panorama of a Man And a Woman who must Reach a Woman in Australia,PG-13,4.99
691,Poseidon Forever,A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery,PG-13,4.99
694,Prejudice Oleander,A Epic Saga of a Boy And a Dentist who must Outrace a Madman in A U-Boat,PG-13,4.99
721,Reds Pocus,A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia,PG-13,4.99
731,Right Cranes,A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat,PG-13,4.99
739,Rocky War,A Fast-Paced Display of a Squirrel And a Explorer who must Outgun a Mad Scientist in Nigeria,PG-13,4.99
745,Roses Treasure,A Astounding Panorama of a Monkey And a Secret Agent who must Defeat a Woman in The First Manned Space Station,PG-13,4.99
768,Scarface Bang,A Emotional Yarn of a Teacher And a Girl who must Find a Teacher in A Baloon Factory,PG-13,4.99
769,School Jacket,A Intrepid Yarn of a Monkey And a Boy who must Fight a Composer in A Manhattan Penthouse,PG-13,4.99
775,Seattle Expecations,A Insightful Reflection of a Crocodile And a Sumo Wrestler who must Meet a Technical Writer in The Sahara Desert,PG-13,4.99
791,Show Lord,A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan,PG-13,4.99
801,Sister Freddy,A Stunning Saga of a Butler And a Woman who must Pursue a Explorer in Australia,PG-13,4.99
804,Sleeping Suspects,A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention,PG-13,4.99
826,Speed Suit,A Brilliant Display of a Frisbee And a Mad Scientist who must Succumb a Robot in Ancient China,PG-13,4.99
865,Sunrise League,A Beautiful Epistle of a Madman And a Butler who must Face a Crocodile in A Manhattan Penthouse,PG-13,4.99
887,Thief Pelican,A Touching Documentary of a Madman And a Mad Scientist who must Outrace a Feminist in An Abandoned Mine Shaft,PG-13,4.99
888,Thin Sagebrush,A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India,PG-13,4.99
898,Tourist Pelican,A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia,PG-13,4.99
905,Trainspotting Strangers,A Fast-Paced Drama of a Pioneer And a Mad Cow who must Challenge a Madman in Ancient Japan,PG-13,4.99
911,Trip Newton,A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park,PG-13,4.99
922,Undefeated Dalmations,A Unbelieveable Display of a Crocodile And a Feminist who must Overcome a Moose in An Abandoned Amusement Park,PG-13,4.99
929,Usual Untouchables,A Touching Display of a Explorer And a Lumberjack who must Fight a Forensic Psychologist in A Shark Tank,PG-13,4.99
943,Villain Desperate,A Boring Yarn of a Pioneer And a Feminist who must Redeem a Cat in An Abandoned Amusement Park,PG-13,4.99
944,Virgin Daisy,A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank,PG-13,4.99
956,Wanda Chamber,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,PG-13,4.99
971,Whale Bikini,A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention,PG-13,4.99
972,Whisperer Giant,A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan,PG-13,4.99
994,Wyoming Storm,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat,PG-13,4.99
